,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
carcinogenesis.amesTestPositive,-0.16348071,0.03000937,-0.4922939,-0.1676745,0.07018367,0.13050127,-0.015205803,-0.33110595,-0.3358217,-0.13043733,0.061271593,0.013132293,-0.5799869,0.14793971,-0.07710383,-0.26165667,-0.036310602,0.21977843,-0.29525858,-0.10490117,-0.22292852,-0.14727265,0.4004828,-0.20058416,-0.26708364,0.4966979,-0.41665208,-0.22212291,0.26861814,-0.24300289,0.080217555,-0.29047856,-0.17846812,-0.00021524286,-0.4678028,0.11566928,-0.21264139,0.54727274,-0.3430665,0.773223
carcinogenesis.amesTestPositive_reverse,0.5537097,0.17697479,-0.06522515,-0.20083888,-0.21059684,0.25668845,0.2591511,-0.2602988,-0.15679266,0.50199604,-0.23963648,-0.054383054,-0.13559006,0.07498074,-0.030977497,-0.027997786,0.1405334,0.0008335038,-0.08906891,0.4189467,-0.5419209,-0.21453492,0.1934433,-0.19261634,-0.05925701,0.07648502,-0.023395877,0.3068897,-0.090487204,0.057663262,-0.40033603,-0.2058746,0.32503352,0.0944903,-0.22783151,-0.14508994,0.014790382,-0.06872501,-0.16828516,0.32618868
carcinogenesis.charge,0.15722886,-0.41383728,-0.4400619,0.21114503,0.11335074,-0.015680335,-0.65301424,-0.9834543,-0.09027137,0.03966786,0.29861328,-0.36580706,0.42098662,0.44352,0.7126404,0.3556447,-0.43531704,0.50999624,0.20808384,0.67071706,-0.17471573,-0.72680527,-0.6114628,-0.0444913,-0.2712622,0.527906,0.1406283,-0.3841228,-0.054018244,-0.087902516,-0.018186904,-0.18027523,0.86354893,-0.03657337,0.13950162,-0.007904457,0.07762483,0.6938455,0.040874958,-0.09673064
carcinogenesis.charge_reverse,-0.40169886,-0.40130317,0.22081292,0.29460862,0.20947127,0.94323456,-0.32398424,-0.050977204,0.20759536,0.054251168,0.4131417,-0.40201506,0.02022296,-0.24957228,-0.41901502,-0.587394,-0.50319016,-0.27692705,-0.7780634,0.86717916,0.17253625,-0.6020798,0.019223886,0.11713471,0.5917124,-0.27355567,-0.32497114,0.35703036,0.3732936,0.6995914,0.19660938,-0.7003633,0.0782504,-0.22618774,-0.70691,0.28455153,-0.73597306,0.025537394,-0.5875272,-0.21144441
carcinogenesis.chromaberr,-0.059938587,-0.009976983,-0.49555013,-0.16837183,0.055673443,0.055465747,-0.012752179,-0.24956219,-0.29324186,-0.12020253,0.066323675,0.03143112,-0.59471184,0.10410629,-0.055352967,-0.30895948,0.036998205,0.21748888,-0.24683532,-0.17307062,-0.19281714,-0.15800788,0.43426943,-0.20424701,-0.2160721,0.5330575,-0.43229312,-0.18717659,0.2070761,-0.2560955,0.07578675,-0.25906572,-0.18899024,-0.015753629,-0.48992229,0.05765365,-0.28702855,0.50814915,-0.27554655,0.71800584
carcinogenesis.chromaberr_reverse,0.6410033,0.14251365,0.023980932,-0.25663367,-0.31949428,0.2989983,0.3016359,-0.18367916,-0.31212458,0.4646799,-0.2079171,0.07545738,-0.025245676,-0.04572173,0.08130312,-0.024272528,0.04916533,-0.013020045,-0.09737848,0.34380433,-0.59620315,-0.35369128,0.16497281,-0.01075939,-0.011179481,0.063094355,-0.19085851,0.39976835,-0.025110094,0.061242063,-0.38014558,-0.19313045,0.21676409,0.16296089,-0.17150055,-0.18618524,0.10742062,-0.04163895,-0.008776354,0.30506057
carcinogenesis.chromex,-0.06772058,0.014261986,-0.42761225,-0.18545412,0.035534445,0.121869154,0.009232299,-0.283407,-0.35847393,-0.10787295,0.04325645,-0.011280458,-0.5641593,0.14117025,-0.1418953,-0.3217813,0.009129207,0.19927548,-0.3011542,-0.099267125,-0.18837267,-0.22556622,0.4397703,-0.2772181,-0.1938444,0.44052657,-0.4074899,-0.16151814,0.26714432,-0.18517062,0.02534422,-0.23103964,-0.177132,0.023775151,-0.4567058,0.20365146,-0.33369756,0.49856377,-0.3107735,0.6945238
carcinogenesis.chromex_reverse,0.67345554,0.06593564,-0.009060842,-0.30108076,-0.3203258,0.28535843,0.20258602,-0.18728684,-0.4832955,0.40028128,-0.17607431,0.06316157,-0.06648894,-0.04707055,0.13679633,0.028108202,0.07956734,-0.071445376,-0.10931336,0.33888862,-0.46642214,-0.2612639,0.17752077,-0.06969342,-0.05224911,0.06865043,-0.18420888,0.35369608,0.03623816,0.09723753,-0.43808052,-0.26241437,0.18013218,0.25537366,-0.10200292,-0.15771362,-0.048914183,-0.16790877,0.013387047,0.27930054
carcinogenesis.cytogen_ca,-0.1359211,0.025730813,-0.51068825,-0.16444963,0.09492302,0.14007555,-0.013749418,-0.29520828,-0.28341585,-0.06012611,0.022716219,-0.008196915,-0.611158,0.16164383,-0.06317277,-0.34059533,-0.015450202,0.24616282,-0.28499204,-0.116248846,-0.24275357,-0.14500009,0.4413128,-0.2099681,-0.24683154,0.49170437,-0.38720644,-0.20576648,0.24780463,-0.26568028,0.040167354,-0.23103389,-0.18064839,0.06321838,-0.4294938,0.1352718,-0.23947284,0.58704764,-0.30977768,0.7704464
carcinogenesis.cytogen_ca_reverse,0.66615456,0.12999746,-0.043229442,-0.16150808,-0.28334078,0.24975634,0.28167439,-0.2759612,-0.30605736,0.47274446,-0.23787163,-0.060129154,-0.06244321,0.016596274,0.0028890874,0.026186872,0.18748152,-0.00825189,-0.14228198,0.37032798,-0.6160576,-0.18878977,0.25784844,-0.18777578,-0.10880869,0.075822785,0.022255337,0.36238575,-0.08253929,0.061136704,-0.38345125,-0.22239847,0.26991013,0.13466044,-0.22028075,-0.16859987,0.026598427,-0.0065816455,-0.119079135,0.33172727
carcinogenesis.cytogen_sce,-0.21853456,0.021093613,-0.5100762,-0.14893815,0.142828,0.10936997,0.0043174317,-0.32922366,-0.36178005,-0.13589078,0.015741073,0.0345699,-0.5471459,0.17724133,-0.10427636,-0.31642672,-0.017919168,0.26847136,-0.28582656,-0.10316638,-0.25446907,-0.16526279,0.47720626,-0.1970017,-0.20690694,0.5013875,-0.37979862,-0.22731912,0.265552,-0.20241615,0.021504687,-0.22648413,-0.18477342,0.062283576,-0.43124893,0.1573273,-0.23153892,0.51670057,-0.34278932,0.75199914
carcinogenesis.cytogen_sce_reverse,0.61084855,0.16425727,-0.059975762,-0.2061037,-0.2653595,0.35187706,0.32471004,-0.27057898,-0.46445638,0.42614967,-0.23127997,-0.033708885,-0.05415049,-0.003976467,-0.010406995,-0.039161958,0.23075674,0.031960696,-0.2995774,0.40766522,-0.6045329,-0.24148753,0.16947433,-0.267305,-0.068022944,0.048060462,-0.04432123,0.28915754,0.00041687963,0.09288327,-0.38759494,-0.15379414,0.27182883,0.18164341,-0.21853955,-0.25950715,-0.043520276,-0.108571865,-0.25853422,0.331687
carcinogenesis.drosophila_rt,0.020646209,0.016521478,-0.42639175,-0.19824243,0.063427225,0.15650387,-0.0132598765,-0.2803132,-0.3874216,-0.0250334,0.010008952,0.0018950426,-0.506766,0.10607983,-0.080780536,-0.3534179,-0.056402706,0.25127903,-0.2711428,-0.09980791,-0.21030967,-0.12751675,0.40892616,-0.17990161,-0.24351719,0.4947619,-0.3992103,-0.11104225,0.24015042,-0.17307274,0.09111662,-0.22067985,-0.093970776,-0.0025878646,-0.38568383,0.037526637,-0.1489558,0.4741482,-0.29865563,0.7792335
carcinogenesis.drosophila_rt_reverse,0.64833313,0.0981918,0.0032849282,-0.29405305,-0.22862017,0.35023215,0.02587179,-0.18217298,-0.16600248,0.39174077,-0.21829687,0.0041634934,0.013580006,-0.22939044,0.13115007,0.052050818,0.10298092,0.009527411,0.132774,0.28867427,-0.5312249,-0.2849482,0.09428964,-0.10141762,-0.052592922,-0.0056557646,0.043870147,0.32264543,-0.059532814,0.029340887,-0.34842885,-0.26992568,0.24678464,0.42840883,-0.111477524,-0.11770586,-0.07557887,-0.099054046,0.05869021,0.2387865
carcinogenesis.drosophila_slrl,-0.18779747,0.028045287,-0.50799316,-0.14642973,0.1644266,0.16162771,0.022389077,-0.32951126,-0.41059476,-0.07194087,0.0014977561,0.033088103,-0.6261726,0.12124567,-0.04473338,-0.34896055,-0.052411452,0.23320408,-0.30300522,-0.011058017,-0.22580548,-0.12796561,0.43910497,-0.22818586,-0.24685887,0.5011694,-0.27578622,-0.10729231,0.31065038,-0.054936368,0.025493642,-0.2102996,-0.10972298,0.015207897,-0.387339,0.14797461,-0.19162372,0.53368986,-0.27080393,0.66739255
carcinogenesis.drosophila_slrl_reverse,0.60795605,0.1812801,-0.01896038,-0.24446468,-0.2907298,0.27152395,0.12795696,-0.17020054,-0.35921115,0.3928956,-0.14962795,-0.036335792,-0.030146562,-0.18660457,0.15721619,-0.015289892,0.17764628,-0.049146034,0.069334224,0.3271837,-0.4991019,-0.28087607,0.19832447,-0.048316516,-0.10157546,-0.021150822,-0.09074044,0.39096045,-0.12977466,0.04916364,-0.33973563,-0.12583035,0.24578716,0.47791588,-0.15940449,-0.14561006,-0.11642603,-0.1196119,-0.046967834,0.269658
carcinogenesis.hasAtom,0.27737224,-0.11962584,-0.19642018,0.47207603,0.066609345,0.027211316,-0.13799578,-0.42239106,-0.23088495,-0.037132043,0.21826634,-0.09212078,-0.30119103,0.060289077,-0.047200784,-0.28188613,-0.17605412,-0.017609946,-0.2786907,-0.21797816,-0.29542825,-0.35486937,0.2850415,-0.26941592,-0.19928949,0.35263115,-0.29862198,0.14870487,0.22334658,0.04402017,-0.13365032,-0.36793756,0.0405887,0.07070439,-0.44249877,0.0031722523,-0.31736088,0.07907292,-0.24967417,0.71324605
carcinogenesis.hasAtom_reverse,-0.22060369,-0.5548303,-0.42716953,0.43791485,0.12051747,-0.10130732,-0.824184,-0.7311897,0.02376088,0.08114153,0.31235313,-0.6229159,0.2362296,0.3631617,0.5396164,0.3394701,-0.7916366,0.25903985,-0.057394594,0.7894681,-0.113161996,-1.0045156,-0.07998391,0.019900909,-0.41508174,0.47724375,0.4698519,0.09490105,-0.052460633,-0.09212239,0.1567111,0.045273934,0.3574094,-0.13642609,0.14671224,0.08018763,0.383848,0.3692192,-0.027433632,-0.0646202
carcinogenesis.hasBond,0.6854348,0.008148988,-0.36357492,0.13725227,-0.21317251,0.30978256,-0.07841061,-0.6153786,0.28288338,0.30462343,-0.0037208819,-0.043473154,-0.33296713,0.47541487,-0.049512424,-0.19310097,-0.1440818,0.35359848,0.077599496,0.17440732,-0.344481,-0.22610578,0.47560915,0.15277311,-0.1157458,0.34893194,-0.21357709,0.14300103,-0.2990638,0.02622868,-0.2312902,-0.3854736,-0.3007601,-0.33428833,-0.29888827,-0.2291197,-0.2502981,0.26962453,0.096311174,0.4506247
carcinogenesis.hasBond_reverse,-0.12782137,0.54706544,0.44278294,0.19171195,-0.8205341,0.80328673,0.37900552,0.33723414,-0.8376181,1.0720775,-0.5321629,-0.72786784,0.31290174,-0.50159806,-0.08803662,0.33094105,-0.8402735,-0.57127726,-0.69256705,-0.28773743,-0.04615391,0.35218102,0.5111681,-0.64311546,0.59829193,-0.15335274,-0.81091255,0.8883106,0.7646048,0.45521918,-0.89118737,-1.121391,-0.29848516,0.59389585,0.3148477,-0.862011,-0.6819755,0.35055542,-0.7730406,-0.043271177
carcinogenesis.hasStructure,0.74825096,-0.09657922,-0.24353504,-0.19404384,-0.071453854,0.19985275,-0.045454103,-0.45155767,-0.2925439,0.40617988,0.18650545,0.001716719,-0.51317865,0.23896869,-0.02179424,-0.21356063,-0.07221953,0.251399,-0.12143949,-0.06422421,-0.4016564,0.01095489,0.5191241,-0.3073863,-0.34424922,0.3156583,-0.39779028,-0.14234036,0.25220922,0.017054483,-0.072282135,-0.34583482,-0.13386644,-0.01944661,-0.539675,-0.13586128,-0.3987568,0.26522782,-0.398476,0.42411315
carcinogenesis.hasStructure_reverse,-0.868477,-0.7213963,-0.62070894,-0.8086035,-1.1018586,1.1639699,-0.7987049,0.4353541,0.56594294,1.1659966,0.49902055,0.5173707,0.64623576,-0.9246122,-0.58638203,-0.81152916,0.31211835,0.17254704,-1.1508294,1.0061786,-1.5322148,0.39853573,-0.5666817,1.1232706,0.6939294,0.7484951,0.8894169,-0.29401276,-0.7139699,-0.34129757,-1.2819966,-1.3905945,-0.31062096,1.328162,-0.82456225,-0.9954644,0.6497069,-0.63340306,0.9702428,0.9415803
carcinogenesis.inBond,-0.119407035,0.08940231,0.4959191,0.088033706,-0.91273856,0.869219,0.16111195,0.087931424,-0.8634436,1.1902974,-0.4393503,-0.41280165,0.31032214,-0.54964834,-0.40732482,0.36243412,-0.44593853,-0.4488591,-0.7195685,-0.22243525,0.08176776,0.097781144,0.5577532,-0.67468566,0.7115211,-0.20101504,-0.6393518,0.90192175,0.7863727,0.77274376,-0.9433868,-0.77465576,-0.3055257,0.64497656,0.25082597,-0.78967667,-0.55380106,0.4466843,-0.8154595,-0.24194126
