,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
mutagenesis.act,0.021658702,0.34806675,-0.3129392,0.07197848,0.050462086,0.39261672,0.07906795,-0.23546176,0.25866753,0.42751706,-0.17648578,0.09194141,0.082426496,0.01384953,0.24108367,-0.13241997,0.18796268,0.24987262,0.42369232,0.34597874,-0.0751193,-0.43695426,0.025287809,0.35186762,-0.08930473,0.638401,-0.2376586,-0.10674303,0.29800633,-0.118165396,-0.062394507,-0.13005489,0.09872008,-0.058463365,-0.021168407,0.5059303,-0.42046028,0.31259352,0.18571407,0.21467145
mutagenesis.act_reverse,0.42285845,-0.5147647,0.28039247,-0.7907194,-0.14139618,0.04690743,-0.07253692,0.63995355,0.5671796,-0.7591682,-0.39031056,0.4381679,0.3624978,-0.5999643,-0.52357966,0.1279319,0.3429083,0.49425307,-0.37445924,-0.85674834,0.3612897,0.13863808,-0.004578113,-0.385181,-0.0052523226,-0.9199493,-0.30709055,-0.31603384,-0.90857136,-0.5167373,0.018247679,-0.25151017,0.3748784,-0.6618431,0.9183787,-0.4898999,-0.4620095,0.35595283,-0.48397824,-0.8130753
mutagenesis.charge,0.26971844,-0.43678376,0.3028743,-0.30630288,0.38282675,0.21548812,-0.072248735,0.48887548,-0.82361835,-0.46276292,0.57079566,0.30436483,0.13418823,-0.6982413,-0.54849494,0.00021923246,-0.7747442,0.2371623,-0.69336593,0.32703352,-0.94038343,0.33956483,0.09567634,-0.21852417,-0.35950008,0.32773262,0.58631974,-0.09222641,-0.47502336,-0.089724,-0.019163642,-0.06762499,0.15563616,-0.24469046,-0.25533372,0.32443243,0.70841104,0.2237989,-0.53928244,0.48026413
mutagenesis.charge_reverse,0.41145334,0.2982386,-0.47017598,-0.22370271,0.39154655,0.5946743,0.0019937996,0.49190685,0.12110298,0.18987656,-0.5497761,0.18714856,0.15357928,-0.29531065,0.53927,0.09180928,0.043766953,0.2838354,0.39000538,0.02158327,0.29556662,0.1975453,0.9495259,0.11875587,0.6747829,0.21425611,0.40995514,-0.20354728,0.046115596,-0.22038461,0.026311234,-0.03827101,0.3232859,0.296299,0.6854387,-0.5315188,0.5898916,-0.61703974,-0.040802166,-0.6290517
mutagenesis.hasAtom,0.52550906,0.10416606,-0.18787827,0.015920568,0.6726444,0.6253052,0.22533906,-0.11943612,0.05689791,0.17210005,-0.5340654,-0.034763526,-0.020342242,-0.04096625,0.33955333,0.27724436,-0.24578746,0.020600753,0.27267045,0.1405211,0.6097833,-0.16119,0.14113882,0.10337475,0.022045173,0.25997603,-0.18600789,0.014305187,0.19353716,0.09197245,-0.19518429,0.18415162,0.030467927,0.057347283,0.18973559,0.4524017,-0.03287205,0.10306608,0.041922465,0.08859155
mutagenesis.hasAtom_reverse,0.1412724,-0.47865388,0.3629657,-0.5430644,0.6368454,-0.005093964,-0.09948683,0.46154863,-0.6168325,-0.38861537,0.3744606,0.3856547,0.18117003,-0.39613533,-0.33389857,-0.039238665,-1.025635,0.09541865,-0.12996326,0.466878,-0.5425602,0.5757821,-0.29010355,-0.46550536,-0.0015748177,0.1694157,0.48763925,-0.39332014,-0.62915933,-0.15742773,-0.099306785,-0.18188618,0.1842327,-0.6149822,0.1314074,0.3372241,0.5196571,0.26847535,-0.41994965,0.18865909
mutagenesis.hasBond,-0.34728464,0.1734865,-0.108647436,0.4717393,-0.032107305,0.12949711,0.11341262,-0.17920454,0.40536696,0.17243205,-0.0678559,0.07368482,-0.2334039,0.26570797,-0.06950023,-0.2231448,-0.08751398,-0.015900567,0.40603545,0.17453249,-0.24459018,-0.2602432,0.19694036,0.46777588,-0.1178674,-0.042854644,-0.045250908,0.15530556,0.50899833,-0.06591776,0.10909198,0.117277525,0.12673597,-0.5218624,0.33411914,0.23867543,-0.25437543,-0.007849391,0.37306446,0.26294655
mutagenesis.hasBond_reverse,-0.81850016,0.47808743,0.5586827,0.57684875,-0.48014146,-0.61453885,1.1125263,-0.49121562,0.6191425,-0.2679997,0.25208107,-1.0823518,-0.9969734,0.36316723,0.43189123,-0.78309757,0.35918477,-0.8116222,0.689678,-0.63379645,0.345333,-0.6399588,1.1178442,0.76879996,0.99743843,-0.69515955,-0.307124,1.1234378,0.6349305,1.0606459,0.90873593,0.9576215,-0.6652236,0.56473255,-0.1627236,-0.44429475,-0.055711392,-0.3735711,0.3968221,-0.6829473
mutagenesis.hasFifeExamplesOfAcenthrylenes,0.25155932,0.60254174,-0.7713858,0.19720773,0.11597594,0.54042435,0.24554016,-0.60700995,0.019664979,0.48969522,-0.30512673,0.17827766,0.08625628,0.18391871,0.49460894,0.42051685,0.3468125,0.16056871,0.3962512,0.24296086,-0.22223753,-0.59863406,-7.793206e-05,0.25678107,0.030833462,0.40288448,-0.24493417,-0.30853915,0.23984258,-0.052435365,-0.14850618,-0.3048771,0.6171275,-0.23167032,0.3707826,0.6412772,-0.44222036,0.06051613,-0.013056663,0.14925714
mutagenesis.hasFifeExamplesOfAcenthrylenes_reverse,0.07499735,0.083088994,-0.35261416,0.08311643,-0.099761434,-0.063592955,0.3584284,-0.31222907,-0.5300012,-0.4669148,0.22447781,-0.2979835,-0.431984,0.26536426,-0.13423505,-0.31437492,-0.08096008,-0.12138739,0.18413277,0.16709575,-0.500549,0.04564843,0.3039245,-0.31200594,0.027680906,-0.11512803,0.10035152,0.28222218,-0.035619512,-0.34758872,-0.5968899,-0.26041815,-0.29946092,0.19844386,-0.4747586,0.11146037,0.06688846,-0.29149726,-0.98446816,-0.60022086
