,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
NTNcombined.altitude,-0.25178602,0.3264013,0.24487089,-0.5136775,0.60588574,0.19833487,-0.30788273,-0.107344985,-0.27823755,-0.36740083,-0.26919362,1.0629803,0.16042648,-0.7103488,0.20417,-0.44559097,0.023473822,0.41964743,0.08135832,0.3091621,-0.14788866,0.26540458,0.28163397,-0.531849,0.7977156,-0.06407305,-0.4166421,-0.0032109933,0.26200578,-0.34556374,-0.5203765,-0.14495067,0.40765542,-0.3755333,0.40121558,0.3616372,0.07669712,0.48964626,-0.69814396,-0.51880586
NTNcombined.altitude_reverse,-0.733348,-0.07731149,-0.15138255,0.19081098,0.560526,-0.22410418,0.25357884,-0.008891962,0.12416961,0.658962,-0.23307185,-0.084111094,0.1169758,0.2026465,0.73359406,0.3588834,-0.1588117,-0.111960754,0.18667832,-0.05287689,0.026964933,0.27939624,0.29245037,0.14220452,-0.53983504,0.27709818,-0.682847,0.05513097,0.822634,0.031259634,0.110002205,0.66173613,0.4752908,0.11958708,0.12514845,-0.12889083,-0.026591923,0.39599615,0.10432513,0.42027792
NTNcombined.antagonistOf,0.31078047,-0.1302035,0.3603871,-0.27721727,0.20251095,0.057661336,0.09440879,0.049347565,-0.030349584,-0.09429039,-0.015992206,-0.2986042,0.014660281,0.009165194,-0.087008886,0.031182861,-0.03219358,-0.00050102104,-0.15943111,-0.031701352,-0.1525767,-0.19084978,-0.10601869,-0.19505833,0.0741431,-0.121940784,0.031821046,-0.1576485,-0.1295958,0.09696143,0.23934191,0.19966649,-0.03628546,-0.17066461,0.14628653,-0.073218286,-0.22593185,-0.026681624,0.22196056,0.012941929
NTNcombined.antagonistOf_reverse,0.21582595,-0.18342249,0.15564436,-0.11422229,0.015886178,-0.3787684,0.16467778,-0.009621311,-0.15947434,-0.11076382,-0.16955315,0.31544942,-0.08525725,-0.12455154,-0.19694896,-0.04809571,-0.10753886,-0.01474168,0.011855057,-0.111685,0.3013258,-0.1454953,-0.08286416,-0.11135321,0.020905955,0.11698235,0.11209067,-0.100817956,0.010362617,-0.026908208,0.011522989,0.35358202,-0.02587672,-0.08462843,0.126331,-0.1147682,-0.07519956,-0.11536445,0.30375645,0.0646549
NTNcombined.childOf,0.2943318,0.3680593,0.073277086,-0.07717474,0.053665824,0.16175842,0.17216007,0.07585916,0.00054248795,0.34844032,-0.0034644343,-0.028660372,-0.01933433,-0.1364553,-0.17879684,0.010732465,-0.15307105,0.117274106,-0.037282247,-0.06453027,-0.14063267,-0.17817289,-0.020213544,-0.017862907,-0.006263901,-0.056562927,-0.27342454,-0.14699735,-0.07149659,0.19360623,0.07443589,0.29738832,0.07425935,0.024488118,0.02584633,-0.03535548,-0.111145094,-0.09909425,-0.1324425,0.17299908
NTNcombined.childOf_reverse,0.34705174,0.36669132,-0.06132934,-0.050305612,0.08357596,-0.19038545,0.16117215,0.091107525,-0.07795934,0.3719095,-0.048817668,-0.010993046,-0.040816654,-0.122707754,-0.12433513,0.081397355,-0.08029412,0.09876876,-0.029939236,-0.025225678,0.06045417,-0.21328904,-0.036312185,0.08584282,0.0011326978,-0.14658104,-0.32541275,-0.11567597,-0.033913024,0.24080895,-0.020699278,0.27699873,0.054254692,-0.05927135,-0.0050516627,-0.043450877,-0.10689818,-0.107992396,-0.16376615,0.12787803
NTNcombined.collaboratesWith,0.4506933,0.5235118,-0.53502464,-0.1399181,0.20522685,-0.012066666,0.008163671,0.16775985,-0.08091008,-0.30459115,-0.070544004,-0.23426266,-0.05203158,0.043634433,-0.18121284,0.027923157,0.14178088,0.03258909,-0.09606453,-0.025257105,0.046096005,-0.19812408,-0.26378685,-0.03620591,0.069216676,-0.11379249,-0.0046675573,-0.0025872083,0.024308871,0.20570286,0.17696624,-0.41576913,-0.02687505,-0.15749279,0.18330759,0.057882212,-0.44432372,-0.13526078,0.22976524,-0.019869408
NTNcombined.collaboratesWith_reverse,0.41784808,0.49255753,-0.5024234,-0.1055194,0.21861818,-0.048415028,0.050420713,0.15573435,-0.03406541,-0.27744856,-0.02723096,-0.22831759,-0.046526346,0.053798195,-0.21500072,0.0064005293,0.09892709,0.056569904,-0.14483163,-0.058678444,0.10112526,-0.17393087,-0.3134532,-0.05985984,0.065367445,-0.060536526,-0.0377811,-0.0097637335,0.034554977,0.1868087,0.17796178,-0.33293056,-0.059075765,-0.15733922,0.2096024,0.04969995,-0.47280058,-0.14011265,0.27348295,-0.01873394
NTNcombined.enemyOf,0.013237865,0.14839517,-0.099386305,0.0034864813,0.19464679,-0.20269258,0.2278381,0.12334575,-0.28522646,-0.16776575,-0.56121564,-0.2661503,0.33443117,0.108994685,-0.21412288,-0.29208207,0.22231537,0.14945234,-0.299581,-0.06024441,0.51652694,0.054623354,-0.084542714,-0.21281359,0.07828519,-0.4266323,0.17912917,-0.07613313,0.10994407,0.14385378,0.86003137,0.03162584,-0.15163206,-0.30551267,0.15145603,0.3691722,-0.26558715,-0.19454926,0.43889514,-0.007795766
NTNcombined.enemyOf_reverse,-0.14753559,0.20814097,-0.28175732,0.13559985,0.23926926,-0.21342038,0.06919399,0.079555064,-0.08439921,-0.29352435,0.37801462,0.6502906,-0.9694855,-0.17012314,-0.24824254,0.12653562,-0.23885523,-0.3220938,-0.13600598,0.035012983,-0.2507744,0.12996128,-0.37585425,-0.07724111,0.051309954,0.22272192,-0.26572213,0.03515575,-0.058139898,0.13165107,-0.43135938,0.25200126,0.16346267,-0.044004597,0.30867237,-0.119993754,0.059634663,-0.11457136,0.53003347,0.050441384
NTNcombined.ethnicity,-0.20712268,0.38535511,-0.21600398,-0.117035754,-0.3209688,0.063295595,0.060392898,-0.18274897,0.26833996,0.04227773,-0.26545778,-0.08536771,-0.16600806,0.048797905,-0.34807247,0.0010811443,-0.20406654,-0.24647959,0.2650431,0.14700817,-0.03902233,-0.29952496,0.38242024,-0.396382,-0.025046466,-0.22679602,-0.26704028,-0.17652561,-0.232271,-0.09077959,0.11234946,-0.25985324,-0.109097525,0.08683596,0.26940787,-0.07110505,-0.049935136,-0.23523127,0.081430696,0.3514384
