NTNcombined.Barak		NTNcombined.name_en		Barak
NTNcombined.SalemGeodata		NTNcombined.altitude		0
NTNcombined.ArimatheaGeodata		NTNcombined.altitude		0
NTNcombined.LyddaGeodata		NTNcombined.altitude		0
NTNcombined.RamahGeodata		NTNcombined.altitude		0
NTNcombined.CanaGeodata		NTNcombined.altitude		0
NTNcombined.SeaofGalileeGeodata		NTNcombined.altitude		0
NTNcombined.CapernaumGeodata		NTNcombined.altitude		0
NTNcombined.NainGeodata		NTNcombined.altitude		0
NTNcombined.JoppaGeodata		NTNcombined.altitude		0
NTNcombined.SycharGeodata		NTNcombined.altitude		0
NTNcombined.SamariaGeodata		NTNcombined.altitude		0
NTNcombined.CaesareaGeodata		NTNcombined.altitude		0
NTNcombined.BethsaidaGeodata		NTNcombined.altitude		0
NTNcombined.TiberiasGeodata		NTNcombined.altitude		0
NTNcombined.NazarethGeodata		NTNcombined.altitude		0
NTNcombined.BethlehemGeodata		NTNcombined.altitude		0
NTNcombined.BereaGeodata		NTNcombined.altitude		0
NTNcombined.ApolloniaGeodata		NTNcombined.altitude		0
NTNcombined.AmphipolisGeodata		NTNcombined.altitude		0
NTNcombined.ThessalonicaGeodata		NTNcombined.altitude		0
NTNcombined.TroasGeodata		NTNcombined.altitude		0
NTNcombined.DerbeGeodata		NTNcombined.altitude		0
NTNcombined.EphesusGeodata		NTNcombined.altitude		0
NTNcombined.AlexandriaGeodata		NTNcombined.altitude		0
NTNcombined.CorinthGeodata		NTNcombined.altitude		0
NTNcombined.LystraGeodata		NTNcombined.altitude		0
NTNcombined.ShechemGeodata		NTNcombined.altitude		0
NTNcombined.GazaGeodata		NTNcombined.altitude		0
NTNcombined.AntipatrisGeodata		NTNcombined.altitude		0
NTNcombined.EmmausGeodata		NTNcombined.altitude		0
NTNcombined.JerichoGeodata		NTNcombined.altitude		0
NTNcombined.EphraimGeodata		NTNcombined.altitude		0
NTNcombined.JerusalemGeodata		NTNcombined.altitude		0
NTNcombined.ThyatiraGeodata		NTNcombined.altitude		0
NTNcombined.PhilippiGeodata		NTNcombined.altitude		0
NTNcombined.LaodiceaGeodata		NTNcombined.altitude		0
NTNcombined.CenchreaeGeodata		NTNcombined.altitude		0
NTNcombined.BethanyBeyondtheJordanGeodata		NTNcombined.altitude		0
NTNcombined.BabylonGeodata		NTNcombined.altitude		0
NTNcombined.AttaliaGeodata		NTNcombined.altitude		0
NTNcombined.MiletusGeodata		NTNcombined.altitude		0
NTNcombined.CaesareaPhilippiGeodata		NTNcombined.altitude		0
NTNcombined.MountofOlivesGeodata		NTNcombined.altitude		0
NTNcombined.SidonGeodata		NTNcombined.altitude		0
NTNcombined.ColossaeGeodata		NTNcombined.altitude		0
NTNcombined.NeapolisGeodata		NTNcombined.altitude		0
NTNcombined.PhiladelphiaGeodata		NTNcombined.altitude		0
NTNcombined.HaranGeodata		NTNcombined.altitude		0
NTNcombined.RhodesGeodata		NTNcombined.altitude		0
NTNcombined.PaphosGeodata		NTNcombined.altitude		0
NTNcombined.SodomGeodata		NTNcombined.altitude		0
NTNcombined.SyracuseGeodata		NTNcombined.altitude		0
NTNcombined.PhoenixGeodata		NTNcombined.altitude		0
NTNcombined.SmyrnaGeodata		NTNcombined.altitude		0
NTNcombined.MaltaGeodata		NTNcombined.altitude		0
NTNcombined.MyraGeodata		NTNcombined.altitude		0
NTNcombined.SalamisGeodata		NTNcombined.altitude		0
NTNcombined.SalmoneGeodata		NTNcombined.altitude		0
NTNcombined.PataraGeodata		NTNcombined.altitude		0
NTNcombined.LaseaGeodata		NTNcombined.altitude		0
NTNcombined.FairHavensGeodata		NTNcombined.altitude		0
NTNcombined.TyreGeodata		NTNcombined.altitude		0
NTNcombined.IconiumGeodata		NTNcombined.altitude		0
